ID;Mùžete uvést, kolikrát jste reklamoval/a nakoupené zboží nebo službu za poslední dva roky?;Jaká musí být minimální hodnota reklamovaného zboží, abyste pøistoupil/a k reklamaci?;Které zboží nejèastìji reklamujete?;Kterou službu nejèastìji reklamujete?;Kde hledáte pomoc, pokud chcete zjistit informace o reklamacích?;Byla v pøípadì Vašich reklamací vždy dodržena zákonná lhùta 30 dní pro vyøízení reklamace?;Èemu dáváte pøi  reklamaci pøednost?;Spokojenost s postupem reklamací;Ochrana spotøebitelù;Vaše pohlaví;Váš vìk;Vaše nejvyšší ukonèené vzdìlání;Jaký smìr Vašeho vzdìlání pøevažuje?;Jaký je ve Vaší domácnosti pøíjem (èistý) na 1 osobu /mìsíc?;

1 ; Jednou ; Na èástce nezáleží ; ['Zboží spojené s informaèními technologiemi', 'Nábytek', 'Domácí spotøebièe'] ; ['Finanèní služby', 'Dodávku plynu', 'Zdravotní služby'] ; Internet ; Ano ; Vrácení penìz ; [5, 2, 3, 4, 1, 2] ; [5, 4, 2, 3, 2, 5, 1] ; Muž ; 25-34 let ; Výuèní list ; Pøírodovìdné ; 10001-20000CZK
12 ; Tøikrát ; Na èástce nezáleží ; ['Obuv', 'Zboží spojené s informaèními technologiemi', 'Potraviny'] ; ['Sociální služby', 'Opravárenské služby', 'Finanèní služby'] ; Tisk ; Ano ; Výmìnì za jiné zboží ; [5, 4, 4, 3, 1, 1] ; [1, 2, 2, 3, 2, 3, 5] ; Žena ; 18-24 let ; Støedoškolské s maturitou ; Pøírodovìdné ; 20001CZK a více
13 ; Tøikrát ; 200CZK ; ['Zboží spojené s informaèními technologiemi', 'Obuv', 'Potraviny'] ; ['Telefonní služby', 'Dodávku plynu', 'Opravárenské služby'] ; Tisk ; Ano ; Výmìnì za jiné zboží ; [4, 5, 3, 1, 4, 3] ; [1, 4, 2, 1, 5, 4, 2] ; Žena ; 25-34 let ; Vysokoškolské ; Pøírodovìdné ; 5001-10000CZK
14 ; Jednou ; 100CZK ; ['Zboží spojené s informaèními technologiemi', 'Automobil', 'Nábytek'] ; ['Telefonní služby', 'Sociální služby', 'Dodávku vody'] ; Internet ; Ano ; Výmìnì za jiné zboží ; [1, 2, 5, 3, 1, 1] ; [1, 4, 2, 1, 1, 3, 5] ; Žena ; 25-34 let ; Výuèní list ; Technické ; do 5000CZK
15 ; Jednou ; Na èástce nezáleží ; ['Automobil', 'Zboží spojené s informaèními technologiemi', 'Bicykl'] ; ['Zdravotní služby', 'Finanèní služby', 'Sociální služby'] ; Zkušenosti blízkých ; Ano ; Vrácení penìz ; [4, 4, 5, 2, 5, 1] ; [3, 2, 5, 1, 4, 4, 1] ; Žena ; 66 a více let ; Základní ; Ekonomické ; do 5000CZK
16 ; Dvakrát ; 1000CZK ; ['Potraviny', 'Bicykl', 'Domácí spotøebièe'] ; ['Telefonní služby', 'Opravárenské služby', 'Dodávku vody'] ; Internet ; Ne ; Výmìnì zboží za nové ; [2, 3, 1, 3, 3, 3] ; [2, 4, 1, 4, 5, 2, 5] ; Muž ; 35-49 let ; Vysokoškolské ; Humanitární ; 20001CZK a více
17 ; Dvakrát ; 200CZK ; ['Potraviny', 'Odìvy', 'Nábytek'] ; ['Dodávku plynu', 'Zdravotní služby', 'Dodávku vody'] ; Internet ; Ne ; Výmìnì zboží za nové ; [2, 5, 1, 5, 5, 2] ; [5, 3, 1, 5, 1, 4, 5] ; Muž ; 18-24 let ; Støedoškolské s maturitou ; Ekonomické ; 20001CZK a více
18 ; Nikdy ; 2000CZK ; ['Odìvy', 'Bicykl', 'Domácí spotøebièe'] ; ['Dodávku vody', 'Dodávku plynu', 'Telefonní služby'] ; Právní pøedpisy ; Ano ; Výmìnì za jiné zboží ; [1, 1, 3, 5, 1, 2] ; [3, 4, 5, 1, 4, 1, 4] ; Žena ; 18-24 let ; Výuèní list ; Pøírodovìdné ; do 5000CZK
19 ; Více jak ètyøikrát ; 1000CZK ; ['Automobil', 'Domácí spotøebièe', 'Obuv'] ; ['Zdravotní služby', 'Dodávku elektøiny', 'Finanèní služby'] ; Zkušenosti blízkých ; Ne ; Výmìnì za jiné zboží ; [1, 2, 1, 5, 5, 1] ; [2, 4, 5, 5, 2, 3, 3] ; Žena ; 50-65 let ; Støedoškolské s maturitou ; Pøírodovìdné ; 5001-10000CZK
20 ; Dvakrát ; 500CZK ; ['Zboží spojené s informaèními technologiemi', 'Nábytek', 'Obuv'] ; ['Opravárenské služby', 'Telefonní služby', 'Finanèní služby'] ; Právní pøedpisy ; Ne ; Výmìnì zboží za nové ; [4, 2, 1, 5, 4, 3] ; [5, 2, 1, 4, 3, 1, 4] ; Žena ; 18-24 let ; Základní ; Ekonomické ; 20001CZK a více
21 ; Dvakrát ; 2000CZK ; ['Automobil', 'Nábytek', 'Bicykl'] ; ['Telefonní služby', 'Dodávku vody', 'Zdravotní služby'] ; Internet ; Ne ; Vrácení penìz ; [3, 2, 3, 1, 1, 2] ; [4, 5, 3, 1, 1, 1, 3] ; Muž ; 50-65 let ; Vysokoškolské ; Technické ; 5001-10000CZK
22 ; Více jak ètyøikrát ; 100CZK ; ['Obuv', 'Domácí spotøebièe', 'Bicykl'] ; ['Opravárenské služby', 'Dodávku plynu', 'Dodávku elektøiny'] ; Zkušenosti blízkých ; Ne ; Vrácení penìz ; [5, 4, 5, 2, 4, 2] ; [2, 2, 2, 2, 4, 4, 3] ; Žena ; 50-65 let ; Vysokoškolské ; Pøírodovìdné ; 10001-20000CZK
23 ; Nikdy ; 500CZK ; ['Potraviny', 'Odìvy', 'Bicykl'] ; ['Telefonní služby', 'Sociální služby', 'Dodávku vody'] ; Zkušenosti blízkých ; Ano ; Výmìnì zboží za nové ; [2, 3, 3, 2, 3, 1] ; [5, 2, 4, 2, 5, 4, 4] ; Žena ; 50-65 let ; Vysokoškolské ; Pøírodovìdné ; 20001CZK a více
24 ; Nikdy ; 1000CZK ; ['Potraviny', 'Obuv', 'Bicykl'] ; ['Dodávku vody', 'Zdravotní služby', 'Dodávku plynu'] ; Tisk ; Ano ; Výmìnì zboží za nové ; [5, 2, 3, 1, 2, 1] ; [2, 3, 1, 4, 5, 4, 3] ; Žena ; 66 a více let ; Výuèní list ; Ekonomické ; 20001CZK a více
25 ; Tøikrát ; 500CZK ; ['Automobil', 'Potraviny', 'Bicykl'] ; ['Dodávku plynu', 'Sociální služby', 'Telefonní služby'] ; Zkušenosti blízkých ; Ne ; Vrácení penìz ; [5, 3, 2, 2, 1, 3] ; [1, 2, 4, 5, 3, 3, 2] ; Žena ; 35-49 let ; Vysokoškolské ; Technické ; 10001-20000CZK
26 ; Více jak ètyøikrát ; 2000CZK ; ['Obuv', 'Odìvy', 'Potraviny'] ; ['Dodávku vody', 'Telefonní služby', 'Dodávku plynu'] ; Právní pøedpisy ; Ne ; Výmìnì za jiné zboží ; [4, 1, 2, 3, 5, 3] ; [3, 1, 2, 5, 3, 4, 5] ; Žena ; 66 a více let ; Základní ; Pøírodovìdné ; do 5000CZK
27 ; Více jak ètyøikrát ; 1000CZK ; ['Bicykl', 'Zboží spojené s informaèními technologiemi', 'Automobil'] ; ['Dodávku elektøiny', 'Finanèní služby', 'Opravárenské služby'] ; Právní pøedpisy ; Ano ; Opravì zboží ; [5, 3, 2, 1, 1, 2] ; [3, 3, 1, 4, 1, 1, 2] ; Muž ; 25-34 let ; Výuèní list ; Pøírodovìdné ; 20001CZK a více
28 ; Více jak ètyøikrát ; 200CZK ; ['Domácí spotøebièe', 'Automobil', 'Odìvy'] ; ['Finanèní služby', 'Zdravotní služby', 'Dodávku plynu'] ; Právní pøedpisy ; Ano ; Vrácení penìz ; [2, 2, 5, 2, 3, 1] ; [3, 3, 5, 1, 1, 3, 5] ; Žena ; 50-65 let ; Vysokoškolské ; Pøírodovìdné ; 10001-20000CZK
29 ; Tøikrát ; 1000CZK ; ['Automobil', 'Odìvy', 'Potraviny'] ; ['Zdravotní služby', 'Finanèní služby', 'Opravárenské služby'] ; Tisk ; Ano ; Výmìnì za jiné zboží ; [2, 3, 4, 1, 1, 1] ; [5, 3, 1, 4, 3, 1, 2] ; Muž ; 50-65 let ; Výuèní list ; Humanitární ; do 5000CZK
30 ; Dvakrát ; Zboží zásadnì nereklamuji ; ['Nábytek', 'Automobil', 'Potraviny'] ; ['Telefonní služby', 'Zdravotní služby', 'Dodávku vody'] ; Právní pøedpisy ; Ne ; Výmìnì za jiné zboží ; [2, 1, 5, 1, 2, 2] ; [1, 3, 1, 4, 2, 3, 1] ; Muž ; 25-34 let ; Støedoškolské s maturitou ; Ekonomické ; 5001-10000CZK
31 ; Dvakrát ; Zboží zásadnì nereklamuji ; ['Odìvy', 'Automobil', 'Domácí spotøebièe'] ; ['Zdravotní služby', 'Opravárenské služby', 'Finanèní služby'] ; Zkušenosti blízkých ; Ne ; Opravì zboží ; [3, 5, 4, 3, 1, 2] ; [3, 4, 2, 2, 1, 2, 4] ; Žena ; 50-65 let ; Výuèní list ; Ekonomické ; do 5000CZK
32 ; Jednou ; 200CZK ; ['Domácí spotøebièe', 'Odìvy', 'Bicykl'] ; ['Dodávku plynu', 'Zdravotní služby', 'Sociální služby'] ; Zkušenosti blízkých ; Ano ; Vrácení penìz ; [3, 4, 1, 1, 2, 3] ; [5, 2, 5, 5, 2, 2, 2] ; Muž ; 18-24 let ; Vysokoškolské ; Technické ; 20001CZK a více
33 ; Tøikrát ; 200CZK ; ['Nábytek', 'Domácí spotøebièe', 'Odìvy'] ; ['Dodávku vody', 'Dodávku elektøiny', 'Zdravotní služby'] ; Internet ; Ne ; Výmìnì zboží za nové ; [2, 5, 4, 5, 4, 3] ; [2, 4, 5, 4, 1, 3, 2] ; Muž ; 25-34 let ; Støedoškolské s maturitou ; Technické ; 20001CZK a více
34 ; Jednou ; Na èástce nezáleží ; ['Zboží spojené s informaèními technologiemi', 'Automobil', 'Potraviny'] ; ['Finanèní služby', 'Telefonní služby', 'Dodávku plynu'] ; Zkušenosti blízkých ; Ne ; Výmìnì za jiné zboží ; [1, 2, 5, 5, 5, 3] ; [5, 5, 1, 5, 4, 1, 4] ; Muž ; 18-24 let ; Vysokoškolské ; Ekonomické ; 20001CZK a více
35 ; Jednou ; 1000CZK ; ['Odìvy', 'Zboží spojené s informaèními technologiemi', 'Nábytek'] ; ['Dodávku elektøiny', 'Sociální služby', 'Opravárenské služby'] ; Zkušenosti blízkých ; Ne ; Výmìnì za jiné zboží ; [2, 1, 2, 3, 3, 2] ; [2, 5, 5, 5, 4, 2, 5] ; Žena ; 35-49 let ; Vysokoškolské ; Humanitární ; do 5000CZK
36 ; Více jak ètyøikrát ; Zboží zásadnì nereklamuji ; ['Bicykl', 'Nábytek', 'Potraviny'] ; ['Zdravotní služby', 'Opravárenské služby', 'Dodávku vody'] ; Právní pøedpisy ; Ano ; Výmìnì zboží za nové ; [4, 5, 1, 2, 1, 1] ; [1, 2, 2, 2, 1, 3, 5] ; Žena ; 25-34 let ; Støedoškolské s maturitou ; Humanitární ; 20001CZK a více
37 ; Dvakrát ; 200CZK ; ['Zboží spojené s informaèními technologiemi', 'Nábytek', 'Domácí spotøebièe'] ; ['Telefonní služby', 'Sociální služby', 'Dodávku vody'] ; Internet ; Ne ; Opravì zboží ; [1, 3, 5, 1, 1, 1] ; [4, 5, 3, 5, 4, 1, 4] ; Žena ; 66 a více let ; Výuèní list ; Ekonomické ; 5001-10000CZK
38 ; Více jak ètyøikrát ; 200CZK ; ['Domácí spotøebièe', 'Automobil', 'Nábytek'] ; ['Opravárenské služby', 'Dodávku plynu', 'Finanèní služby'] ; Internet ; Ano ; Vrácení penìz ; [4, 4, 5, 1, 3, 1] ; [2, 4, 4, 3, 1, 5, 4] ; Muž ; 50-65 let ; Základní ; Humanitární ; 5001-10000CZK
39 ; Nikdy ; Zboží zásadnì nereklamuji ; ['Bicykl', 'Nábytek', 'Obuv'] ; ['Opravárenské služby', 'Finanèní služby', 'Zdravotní služby'] ; Právní pøedpisy ; Ne ; Výmìnì za jiné zboží ; [3, 4, 2, 2, 2, 2] ; [1, 4, 1, 4, 1, 4, 1] ; Muž ; 18-24 let ; Výuèní list ; Humanitární ; do 5000CZK
40 ; Více jak ètyøikrát ; Zboží zásadnì nereklamuji ; ['Potraviny', 'Domácí spotøebièe', 'Odìvy'] ; ['Dodávku elektøiny', 'Dodávku plynu', 'Finanèní služby'] ; Zkušenosti blízkých ; Ano ; Výmìnì za jiné zboží ; [4, 2, 3, 3, 5, 1] ; [5, 1, 1, 3, 2, 3, 2] ; Žena ; 35-49 let ; Vysokoškolské ; Technické ; 20001CZK a více
41 ; Více jak ètyøikrát ; 500CZK ; ['Bicykl', 'Obuv', 'Zboží spojené s informaèními technologiemi'] ; ['Sociální služby', 'Telefonní služby', 'Dodávku plynu'] ; Tisk ; Ano ; Opravì zboží ; [5, 4, 3, 3, 3, 2] ; [3, 5, 5, 2, 2, 5, 1] ; Muž ; 50-65 let ; Vysokoškolské ; Technické ; do 5000CZK
42 ; Nikdy ; 2000CZK ; ['Nábytek', 'Odìvy', 'Potraviny'] ; ['Opravárenské služby', 'Dodávku elektøiny', 'Zdravotní služby'] ; Internet ; Ano ; Vrácení penìz ; [5, 4, 4, 4, 4, 3] ; [5, 1, 3, 2, 3, 3, 4] ; Žena ; 35-49 let ; Støedoškolské s maturitou ; Pøírodovìdné ; 20001CZK a více
43 ; Jednou ; 500CZK ; ['Domácí spotøebièe', 'Automobil', 'Nábytek'] ; ['Dodávku vody', 'Finanèní služby', 'Telefonní služby'] ; Zkušenosti blízkých ; Ano ; Výmìnì zboží za nové ; [3, 1, 4, 1, 3, 1] ; [2, 4, 4, 3, 5, 4, 1] ; Muž ; 35-49 let ; Støedoškolské s maturitou ; Ekonomické ; do 5000CZK
44 ; Jednou ; 1000CZK ; ['Obuv', 'Domácí spotøebièe', 'Automobil'] ; ['Zdravotní služby', 'Dodávku plynu', 'Telefonní služby'] ; Zkušenosti blízkých ; Ano ; Opravì zboží ; [4, 4, 3, 2, 1, 3] ; [4, 5, 4, 2, 1, 3, 1] ; Muž ; 35-49 let ; Výuèní list ; Humanitární ; 5001-10000CZK
45 ; Více jak ètyøikrát ; 500CZK ; ['Odìvy', 'Potraviny', 'Zboží spojené s informaèními technologiemi'] ; ['Dodávku vody', 'Zdravotní služby', 'Dodávku elektøiny'] ; Tisk ; Ne ; Výmìnì za jiné zboží ; [5, 5, 2, 1, 3, 2] ; [2, 3, 5, 4, 4, 5, 5] ; Žena ; 66 a více let ; Výuèní list ; Ekonomické ; 10001-20000CZK
46 ; Jednou ; 500CZK ; ['Nábytek', 'Obuv', 'Domácí spotøebièe'] ; ['Sociální služby', 'Zdravotní služby', 'Finanèní služby'] ; Zkušenosti blízkých ; Ne ; Výmìnì za jiné zboží ; [3, 5, 5, 2, 2, 1] ; [5, 4, 2, 1, 5, 4, 5] ; Žena ; 66 a více let ; Støedoškolské s maturitou ; Ekonomické ; 10001-20000CZK
47 ; Nikdy ; 500CZK ; ['Obuv', 'Automobil', 'Zboží spojené s informaèními technologiemi'] ; ['Finanèní služby', 'Sociální služby', 'Dodávku vody'] ; Tisk ; Ano ; Vrácení penìz ; [5, 3, 2, 3, 4, 1] ; [5, 5, 4, 3, 2, 3, 4] ; Žena ; 50-65 let ; Výuèní list ; Technické ; do 5000CZK
48 ; Nikdy ; 100CZK ; ['Domácí spotøebièe', 'Odìvy', 'Nábytek'] ; ['Dodávku vody', 'Finanèní služby', 'Opravárenské služby'] ; Právní pøedpisy ; Ano ; Vrácení penìz ; [3, 1, 4, 1, 4, 3] ; [4, 2, 1, 5, 2, 1, 5] ; Žena ; 25-34 let ; Výuèní list ; Technické ; 10001-20000CZK
49 ; Jednou ; 2000CZK ; ['Automobil', 'Obuv', 'Domácí spotøebièe'] ; ['Dodávku plynu', 'Dodávku elektøiny', 'Finanèní služby'] ; Internet ; Ne ; Opravì zboží ; [3, 5, 4, 3, 4, 1] ; [2, 3, 1, 3, 3, 2, 3] ; Muž ; 35-49 let ; Výuèní list ; Humanitární ; 5001-10000CZK
50 ; Nikdy ; Zboží zásadnì nereklamuji ; ['Domácí spotøebièe', 'Obuv', 'Zboží spojené s informaèními technologiemi'] ; ['Sociální služby', 'Telefonní služby', 'Opravárenské služby'] ; Tisk ; Ne ; Výmìnì za jiné zboží ; [1, 3, 3, 4, 5, 3] ; [2, 4, 2, 2, 2, 3, 4] ; Žena ; 35-49 let ; Vysokoškolské ; Humanitární ; 5001-10000CZK
